Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Property Type,Tenure,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
SBF CENTER,"1,710,000",592.02,"2,888",09 Jul 2021,160 ROBINSON ROAD #17-08,Resale,Strata,55,"31,091",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
ROBINSON SQUARE,"3,025,000","1,184.04","2,555",12 Jul 2021,144 ROBINSON ROAD #11-02,Resale,Strata,110,"27,500",Office,Freehold,01,06,068908,Central Region,Downtown Core
SOHO LIFE,"538,000",344.45,"1,562",15 Jul 2021,216 JOO CHIAT ROAD #03-25,Resale,Strata,32,"16,813",Office,Freehold,15,42,427483,Central Region,Geylang
PAYA LEBAR SQUARE,"1,041,888",516.67,"2,017",16 Jul 2021,60 PAYA LEBAR ROAD #10-26,Resale,Strata,48,"21,706",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"2,222,000",925.7,"2,400",19 Jul 2021,8 EU TONG SEN STREET #19-84,Resale,Strata,86,"25,837",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
FORTUNE CENTRE,"445,000",204.52,"2,176",19 Jul 2021,190 MIDDLE ROAD #04-06,Resale,Strata,19,"23,421",Office,99 yrs from 18/10/1980,07,18,188979,Central Region,Rochor
GB BUILDING,"25,480,000","13,067.5","1,950",22 Jul 2021,"143 CECIL STREET #01-01,#02-01",Resale,Strata,"1,214","20,988",Office,99 yrs from 12/10/1982,01,06,069542,Central Region,Downtown Core
GB BUILDING,"18,000,001","12,593.88","1,429",22 Jul 2021,143 CECIL STREET #03-01 TO 10,Resale,Strata,"1,170","15,385",Office,99 yrs from 12/10/1982,01,06,069542,Central Region,Downtown Core
GB BUILDING,"8,580,000","5,425.06","1,582",22 Jul 2021,"143 CECIL STREET #08-01,02,03,04",Resale,Strata,504,"17,024",Office,99 yrs from 12/10/1982,01,06,069542,Central Region,Downtown Core
GSM BUILDING,"1,200,000",871.88,"1,376",22 Jul 2021,141 MIDDLE ROAD #05-07,Resale,Strata,81,"14,815",Office,99 yrs from 02/05/1978,07,18,188976,Central Region,Rochor
CHINATOWN POINT,"1,800,000","1,054.87","1,706",23 Jul 2021,133 NEW BRIDGE ROAD #11-03,Resale,Strata,98,"18,367",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
PAYA LEBAR SQUARE,"962,192",484.38,"1,986",23 Jul 2021,60 PAYA LEBAR ROAD #05-06,Resale,Strata,45,"21,382",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,028,000",505.91,"2,032",26 Jul 2021,60 PAYA LEBAR ROAD #07-41,Resale,Strata,47,"21,872",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
THE CENTRAL,"2,070,000",925.7,"2,236",27 Jul 2021,8 EU TONG SEN STREET #22-85,Resale,Strata,86,"24,070",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PARKWAY PARADE,"1,660,000",925.7,"1,793",27 Jul 2021,80 MARINE PARADE ROAD #11-07,Resale,Strata,86,"19,302",Office,99 yrs from 17/08/1979,15,44,449269,Central Region,Marine Parade
SOHO LIFE,"600,000",398.27,"1,507",27 Jul 2021,216 JOO CHIAT ROAD #03-22,Resale,Strata,37,"16,216",Office,Freehold,15,42,427483,Central Region,Geylang
INTERNATIONAL PLAZA,"4,714,000","2,357.32","2,000",27 Jul 2021,10 ANSON ROAD #20-16,Resale,Strata,219,"21,525",Office,99 yrs from 02/06/1970,02,07,079903,Central Region,Downtown Core
CENTRIUM SQUARE,"1,671,615",613.55,"2,725",28 Jul 2021,320 SERANGOON ROAD #16-05,Resale,Strata,57,"29,327",Office,Freehold,08,21,218108,Central Region,Kallang
CENTRIUM SQUARE,"1,671,615",613.55,"2,725",28 Jul 2021,320 SERANGOON ROAD #16-06,Resale,Strata,57,"29,327",Office,Freehold,08,21,218108,Central Region,Kallang
REGENCY SUITES,"1,610,000","1,065.64","1,511",30 Jul 2021,38 KIM TIAN ROAD #04-05,Resale,Strata,99,"16,263",Office,Freehold,03,16,169262,Central Region,Bukit Merah
SUNTEC CITY,"10,520,000","3,078.5","3,417",03 Aug 2021,7 TEMASEK BOULEVARD #37-03,Resale,Strata,286,"36,783",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE GOLDEN LANDMARK,"450,000",365.98,"1,230",04 Aug 2021,390 VICTORIA STREET #03-06,Resale,Strata,34,"13,235",Office,99 yrs from 30/04/1981,07,18,188061,Central Region,Rochor
GOLDEN MILE COMPLEX,"202,888",129.17,"1,571",06 Aug 2021,"5001 BEACH ROAD #03-65D,65E",Resale,Strata,12,"16,907",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Downtown Core
GOLDEN MILE TOWER,"450,000",322.92,"1,394",12 Aug 2021,6001 BEACH ROAD #B1-86,Resale,Strata,30,"15,000",Office,99 yrs from 09/06/1969,07,19,199589,Central Region,Downtown Core
THE CENTRAL,"1,700,000",645.84,"2,632",13 Aug 2021,8 EU TONG SEN STREET #21-83,Resale,Strata,60,"28,333",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PENINSULA PLAZA,"4,440,000","1,776.06","2,500",16 Aug 2021,111 NORTH BRIDGE ROAD #23-04,Resale,Strata,165,"26,909",Office,999 yrs from 29/10/1829,06,17,179098,Central Region,Downtown Core
GEYLANG CONSERVATION AREA,"1,200,000","1,786.82",672,17 Aug 2021,791 GEYLANG ROAD #04-01,Resale,Strata,166,"7,229",Office,Freehold,14,38,389676,Central Region,Geylang
GIFFARD MANSIONS,"428,000",290.63,"1,473",18 Aug 2021,424 BALESTIER ROAD #02-05,Resale,Strata,27,"15,852",Office,Freehold,12,32,329810,Central Region,Novena
MANHATTAN HOUSE,"606,375",495.14,"1,225",18 Aug 2021,151 CHIN SWEE ROAD #02-32,Resale,Strata,46,"13,182",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
THE PROMENADE@PELIKAT,"508,000",258.34,"1,966",19 Aug 2021,183 JALAN PELIKAT #01-91,Resale,Strata,24,"21,167",Office,Freehold,19,53,537643,North East Region,Hougang
PAYA LEBAR SQUARE,"6,247,900","2,906.28","2,150",20 Aug 2021,"60 PAYA LEBAR ROAD #05-29,30",Resale,Strata,270,"23,140",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
HAVELOCK2,"1,125,000",624.31,"1,802",20 Aug 2021,2 HAVELOCK ROAD #06-17,Resale,Strata,58,"19,397",Office,99 yrs from 04/05/1983,01,05,059763,Central Region,Singapore River
GUTHRIE BUILDING,"2,980,000","3,035.45",982,23 Aug 2021,150 CHANGI ROAD #04-06,Resale,Strata,282,"10,567",Office,Freehold,14,41,419973,Central Region,Geylang
PEOPLE'S PARK COMPLEX,"850,000",484.38,"1,755",23 Aug 2021,1 PARK ROAD #04-47,Resale,Strata,45,"18,889",Office,99 yrs from 25/03/1968,01,05,059108,Central Region,Outram
PLUS,"11,900,000","3,573.65","3,330",25 Aug 2021,"20 CECIL STREET #23-03,04,05",Resale,Strata,332,"35,843",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
SOHO LIFE,"653,000",441.32,"1,480",25 Aug 2021,216 JOO CHIAT ROAD #04-19,Resale,Strata,41,"15,927",Office,Freehold,15,42,427483,Central Region,Geylang
SHENTON HOUSE,"1,050,000",559.73,"1,876",30 Aug 2021,3 SHENTON WAY #14-02,Resale,Strata,52,"20,192",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
SOUTHBANK,"1,295,000",882.65,"1,467",30 Aug 2021,883 NORTH BRIDGE ROAD #09-02,Resale,Strata,82,"15,793",Office,99 yrs from 27/01/2006,07,19,198785,Central Region,Kallang
THE OCTAGON,"15,472,500","6,189.3","2,500",01 Sep 2021,"105 CECIL STREET #07-01,02,03,04",Resale,Strata,575,"26,909",Office,Freehold,01,06,069534,Central Region,Downtown Core
SOHO LIFE,"635,000",419.8,"1,513",01 Sep 2021,216 JOO CHIAT ROAD #05-20,Resale,Strata,39,"16,282",Office,Freehold,15,42,427483,Central Region,Geylang
THE PLAZA,"700,000",430.56,"1,626",01 Sep 2021,7500A BEACH ROAD #11-306,Resale,Strata,40,"17,500",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
FU LU SHOU COMPLEX,"6,880,000","4,305.6","1,598",02 Sep 2021,149 ROCHOR ROAD #05-15,Resale,Strata,400,"17,200",Office,103 yrs from 16/06/1980,07,18,188425,Central Region,Rochor
THE SUNFLOWER,"710,000",602.78,"1,178",03 Sep 2021,510 GEYLANG ROAD #03-04,Resale,Strata,56,"12,679",Office,Freehold,14,38,389466,Central Region,Geylang
KATONG SHOPPING CENTRE,"800,000",516.67,"1,548",06 Sep 2021,865 MOUNTBATTEN ROAD #05-31,Resale,Strata,48,"16,667",Office,Freehold,15,43,437844,Central Region,Marine Parade
CROWN AT ROBINSON,"2,030,000",592.02,"3,429",13 Sep 2021,140 ROBINSON ROAD #10-07,Resale,Strata,55,"36,909",Office,Freehold,01,06,068907,Central Region,Downtown Core
LIANG SEAH COURT,"2,650,000","1,259.39","2,104",16 Sep 2021,"8 LIANG SEAH STREET #02-05,06",Resale,Strata,117,"22,650",Office,999 yrs from 25/01/1827,07,18,189029,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,010,000",548.96,"1,840",16 Sep 2021,60 PAYA LEBAR ROAD #04-09,Resale,Strata,51,"19,804",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
ONE DUSUN RESIDENCES,"364,486",172.22,"2,116",20 Sep 2021,1 JALAN DUSUN #02-06,Resale,Strata,16,"22,780",Office,Freehold,12,32,329363,Central Region,Novena
PEOPLE'S PARK CENTRE,"1,000,000",602.78,"1,659",21 Sep 2021,101A UPPER CROSS STREET #09-17,Resale,Strata,56,"17,857",Office,99 yrs from 02/06/1970,01,05,058358,Central Region,Outram
15 SCOTTS,"2,305,680",624.31,"3,693",23 Sep 2021,15 SCOTTS ROAD #06-02,Resale,Strata,58,"39,753",Office,Freehold,09,22,228218,Central Region,Orchard
15 SCOTTS,"2,426,129",656.6,"3,695",23 Sep 2021,15 SCOTTS ROAD #06-07,Resale,Strata,61,"39,773",Office,Freehold,09,22,228218,Central Region,Orchard
15 SCOTTS,"2,268,730",613.55,"3,698",23 Sep 2021,15 SCOTTS ROAD #06-08,Resale,Strata,57,"39,802",Office,Freehold,09,22,228218,Central Region,Orchard
15 SCOTTS,"4,533,765","1,227.1","3,695",23 Sep 2021,15 SCOTTS ROAD #06-09,Resale,Strata,114,"39,770",Office,Freehold,09,22,228218,Central Region,Orchard
15 SCOTTS,"20,400,095","5,521.93","3,694",23 Sep 2021,"15 SCOTTS ROAD #07-01,02,09,12",Resale,Strata,513,"39,766",Office,Freehold,09,22,228218,Central Region,Orchard
HOA NAM BUILDING,"1,445,000",721.19,"2,004",23 Sep 2021,27 FOCH ROAD #02-04,Resale,Strata,67,"21,567",Office,Freehold,08,20,209264,Central Region,Kallang
HIGH STREET PLAZA,"1,300,000",613.55,"2,119",24 Sep 2021,77 HIGH STREET #05-05,Resale,Strata,57,"22,807",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
PAYA LEBAR SQUARE,"975,000",505.91,"1,927",27 Sep 2021,60 PAYA LEBAR ROAD #10-41,Resale,Strata,47,"20,745",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
SOHO LIFE,"683,000",548.96,"1,244",28 Sep 2021,216 JOO CHIAT ROAD #03-13,Resale,Strata,51,"13,392",Office,Freehold,15,42,427483,Central Region,Geylang
THE MODULES,"858,000",495.14,"1,733",29 Sep 2021,387 JOO CHIAT ROAD #03-01,Resale,Strata,46,"18,652",Office,Freehold,15,42,427623,Central Region,Marine Parade
PLUS,"1,360,000",484.38,"2,808",30 Sep 2021,20 CECIL STREET #04-02,Resale,Strata,45,"30,222",Office,99 yrs from 07/12/1989,01,04,049705,Central Region,Downtown Core
THE CENTRAL,"5,088,684","1,668.42","3,050",30 Sep 2021,8 EU TONG SEN STREET #18-98,Resale,Strata,155,"32,830",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
THE CENTRAL,"2,790,026",871.88,"3,200",30 Sep 2021,8 EU TONG SEN STREET #18-99,Resale,Strata,81,"34,445",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
SHENTON HOUSE,"7,398,888","4,746.92","1,559",01 Oct 2021,"3 SHENTON WAY #24-01,02,03",Resale,Strata,441,"16,778",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
HIGHLAND CENTRE,"520,000",387.5,"1,342",01 Oct 2021,22 YIO CHU KANG ROAD #02-27,Resale,Strata,36,"14,444",Office,Freehold,19,54,545535,North East Region,Hougang
PEK CHUAN BUILDING,"1,330,000","1,313.21","1,013",04 Oct 2021,116 LAVENDER STREET #01-05,Resale,Strata,122,"10,902",Office,99 yrs from 02/05/1978,12,33,338730,Central Region,Kallang
SUNTEC CITY,"10,002,700","4,348.66","2,300",05 Oct 2021,9 TEMASEK BOULEVARD #06-01,Resale,Strata,404,"24,759",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
SUNTEC CITY,"16,166,700","7,028.89","2,300",05 Oct 2021,9 TEMASEK BOULEVARD #06-02,Resale,Strata,653,"24,758",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
SUNTEC CITY,"6,906,900","3,003.16","2,300",05 Oct 2021,9 TEMASEK BOULEVARD #06-03,Resale,Strata,279,"24,756",Office,99 yrs from 01/03/1989,01,03,038989,Central Region,Downtown Core
SBF CENTER,"2,020,000",624.31,"3,236",06 Oct 2021,160 ROBINSON ROAD #22-09,Resale,Strata,58,"34,828",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
GOLDEN MILE COMPLEX,"310,000",204.52,"1,516",06 Oct 2021,5001 BEACH ROAD #08-45,Resale,Strata,19,"16,316",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Downtown Core
THE MEZZO,"980,000",613.55,"1,597",07 Oct 2021,205 BALESTIER ROAD #02-01,Resale,Strata,57,"17,193",Office,Freehold,12,32,329682,Central Region,Novena
SBF CENTER,"2,560,200",753.48,"3,398",07 Oct 2021,160 ROBINSON ROAD #12-05,Resale,Strata,70,"36,574",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SBF CENTER,"4,501,600","1,323.97","3,400",07 Oct 2021,160 ROBINSON ROAD #12-06,Resale,Strata,123,"36,598",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SBF CENTER,"2,305,200",678.13,"3,399",07 Oct 2021,160 ROBINSON ROAD #12-07,Resale,Strata,63,"36,590",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
THE MEZZO,"1,480,000",968.76,"1,528",08 Oct 2021,205 BALESTIER ROAD #01-08,Resale,Strata,90,"16,444",Office,Freehold,12,32,329682,Central Region,Novena
SOHO LIFE,"650,000",398.27,"1,632",11 Oct 2021,216 JOO CHIAT ROAD #05-24,Resale,Strata,37,"17,568",Office,Freehold,15,42,427483,Central Region,Geylang
PAYA LEBAR SQUARE,"1,900,000",968.76,"1,961",11 Oct 2021,"60 PAYA LEBAR ROAD #06-03,04",Resale,Strata,90,"21,111",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
VISION EXCHANGE,"1,550,000",699.66,"2,215",11 Oct 2021,2 VENTURE DRIVE #11-32,Resale,Strata,65,"23,846",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
HIGH STREET PLAZA,"5,400,000","2,551.07","2,117",12 Oct 2021,"77 HIGH STREET #02-06,08,09,10",Resale,Strata,237,"22,785",Office,999 yrs from 11/06/1827,06,17,179433,Central Region,Downtown Core
THE PLAZA,"600,000",430.56,"1,394",12 Oct 2021,"7500A BEACH ROAD #04-304,305",Resale,Strata,40,"15,000",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
SOHO LIFE,"635,000",398.27,"1,594",13 Oct 2021,216 JOO CHIAT ROAD #05-22,Resale,Strata,37,"17,162",Office,Freehold,15,42,427483,Central Region,Geylang
PAYA LEBAR SQUARE,"1,250,000",635.08,"1,968",13 Oct 2021,60 PAYA LEBAR ROAD #04-01,Resale,Strata,59,"21,186",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"900,000",581.26,"1,548",13 Oct 2021,10 WOODLANDS SQUARE #04-53,Resale,Strata,54,"16,667",Office,99 yrs from 15/07/2014,25,73,737714,North Region,Woodlands
THE CENTRAL,"1,628,000",635.08,"2,563",13 Oct 2021,6 EU TONG SEN STREET #05-09,Resale,Strata,59,"27,593",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
BALESTIER POINT,"645,000",333.68,"1,933",18 Oct 2021,279 BALESTIER ROAD #02-23,Resale,Strata,31,"20,806",Office,Freehold,12,32,329727,Central Region,Novena
HIGH STREET CENTRE,"588,120",376.74,"1,561",19 Oct 2021,1 NORTH BRIDGE ROAD #03-14,Resale,Strata,35,"16,803",Office,99 yrs from 02/06/1969,06,17,179094,Central Region,Downtown Core
111 SOMERSET,"2,709,837","1,022.58","2,650",19 Oct 2021,111 SOMERSET ROAD #06-04,Resale,Strata,95,"28,525",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
WOODS SQUARE,"1,802,326",947.23,"1,903",19 Oct 2021,12 WOODLANDS SQUARE #04-75,Resale,Strata,88,"20,481",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
PS100,"1,320,000",516.67,"2,555",20 Oct 2021,100 PECK SEAH STREET #07-13,Resale,Strata,48,"27,500",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
111 SOMERSET,"2,680,000","1,001.05","2,677",20 Oct 2021,111 SOMERSET ROAD #06-05,Resale,Strata,93,"28,817",Office,99 yrs from 19/02/1975,09,23,238164,Central Region,Orchard
SOHO LIFE,"650,000",409.03,"1,589",21 Oct 2021,216 JOO CHIAT ROAD #02-06,Resale,Strata,38,"17,105",Office,Freehold,15,42,427483,Central Region,Geylang
SHENTON HOUSE,"1,000,000",559.73,"1,787",22 Oct 2021,3 SHENTON WAY #19-02,Resale,Strata,52,"19,231",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,076,000",538.2,"1,999",22 Oct 2021,60 PAYA LEBAR ROAD #09-41,Resale,Strata,50,"21,520",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,078,888",538.2,"2,005",25 Oct 2021,60 PAYA LEBAR ROAD #04-15,Resale,Strata,50,"21,578",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
WOODS SQUARE,"1,100,120",559.73,"1,965",25 Oct 2021,12 WOODLANDS SQUARE #07-67,Resale,Strata,52,"21,156",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
WOODS SQUARE,"2,529,079","1,259.39","2,008",25 Oct 2021,12 WOODLANDS SQUARE #07-68,Resale,Strata,117,"21,616",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
SBF CENTER,"2,280,000",753.48,"3,026",25 Oct 2021,160 ROBINSON ROAD #18-03,Resale,Strata,70,"32,571",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
GOLDEN MILE COMPLEX,"780,000",419.8,"1,858",26 Oct 2021,5001 BEACH ROAD #03-78,Resale,Strata,39,"20,000",Office,99 yrs from 04/08/1969,07,19,199588,Central Region,Downtown Core
FENG MING BUILDING,"6,700,000","1,111.92","6,026",26 Oct 2021,288 JALAN BESAR,Resale,Land,103.3,"64,860",Office,999 yrs from 08/04/1919,08,20,208951,Central Region,Kallang
THE CENTRAL,"1,530,000",613.55,"2,494",26 Oct 2021,6 EU TONG SEN STREET #07-04,Resale,Strata,57,"26,842",Office,99 yrs from 02/01/2001,01,05,059817,Central Region,Singapore River
ARC 380,"1,911,500",764.24,"2,501",27 Oct 2021,380 JALAN BESAR #07-09,Resale,Strata,71,"26,923",Office,Freehold,08,20,209000,Central Region,Kallang
WOODS SQUARE,"1,041,858",559.73,"1,861",27 Oct 2021,12 WOODLANDS SQUARE #04-85,Resale,Strata,52,"20,036",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
PAYA LEBAR SQUARE,"1,918,120",947.23,"2,025",27 Oct 2021,60 PAYA LEBAR ROAD #04-02,Resale,Strata,88,"21,797",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
FOOK HAI BUILDING,"410,000",301.39,"1,360",28 Oct 2021,150 SOUTH BRIDGE ROAD #03-08,Resale,Strata,28,"14,643",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
SOUTHPOINT,"16,000,000","8,019.18","1,995",29 Oct 2021,200 CANTONMENT ROAD #07-02,Resale,Strata,745,"21,477",Office,99 yrs from 08/07/1985,02,08,089763,Central Region,Bukit Merah
FOOK HAI BUILDING,"900,000",807.3,"1,115",29 Oct 2021,150 SOUTH BRIDGE ROAD #06-01,Resale,Strata,75,"12,000",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
WOODS SQUARE,"1,183,060",559.73,"2,114",29 Oct 2021,12 WOODLANDS SQUARE #02-78,Resale,Strata,52,"22,751",Office,99 yrs from 15/07/2014,25,73,737715,North Region,Woodlands
THE PLAZA,"300,000",215.28,"1,394",01 Nov 2021,7500A BEACH ROAD #04-307,Resale,Strata,20,"15,000",Office,99 yrs from 03/09/1968,07,19,199591,Central Region,Downtown Core
CHINATOWN POINT,"1,328,000",742.72,"1,788",01 Nov 2021,133 NEW BRIDGE ROAD #13-07,Resale,Strata,69,"19,246",Office,99 yrs from 12/11/1980,01,05,059413,Central Region,Outram
CROWN AT ROBINSON,"257,500,000","70,676.42","3,643",01 Nov 2021,140 ROBINSON ROAD #18-06 ETC,Resale,Strata,"6,566","39,217",Office,Freehold,01,06,068907,Central Region,Downtown Core
PAYA LEBAR SQUARE,"1,008,000",548.96,"1,836",01 Nov 2021,60 PAYA LEBAR ROAD #07-09,Resale,Strata,51,"19,765",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
SHENTON HOUSE,"1,075,200",559.73,"1,921",05 Nov 2021,3 SHENTON WAY #15-02,Resale,Strata,52,"20,677",Office,99 yrs from 02/06/1969,01,06,068805,Central Region,Downtown Core
THE CENTRAL,"1,450,000",635.08,"2,283",08 Nov 2021,12 EU TONG SEN STREET #06-169,Resale,Strata,59,"24,576",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
BUKIT TIMAH SHOPPING CENTRE,"1,720,000","1,248.62","1,378",09 Nov 2021,170 UPPER BUKIT TIMAH ROAD #16-03,Resale,Strata,116,"14,828",Office,999 yrs from 17/12/1883,21,58,588179,Central Region,Bukit Timah
ROXY SQUARE,"688,000",247.57,"2,779",10 Nov 2021,50 EAST COAST ROAD #01-31,Resale,Strata,23,"29,913",Office,9999 yrs from 01/01/1980,15,42,428769,Central Region,Marine Parade
SUNTEC CITY,"16,000,000","4,833.04","3,311",11 Nov 2021,8 TEMASEK BOULEVARD #36-02,Resale,Strata,449,"35,635",Office,99 yrs from 01/03/1989,01,03,038988,Central Region,Downtown Core
MANHATTAN HOUSE,"820,000",667.37,"1,229",12 Nov 2021,151 CHIN SWEE ROAD #10-14,Resale,Strata,62,"13,226",Office,99 yrs from 15/10/1969,03,16,169876,Central Region,Outram
THE MODULES,"930,000",538.2,"1,728",12 Nov 2021,387 JOO CHIAT ROAD #01-13,Resale,Strata,50,"18,600",Office,Freehold,15,42,427623,Central Region,Marine Parade
PAYA LEBAR SQUARE,"1,880,000",958,"1,962",12 Nov 2021,60 PAYA LEBAR ROAD #09-23,Resale,Strata,89,"21,124",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
ONE GEORGE STREET,"1,281,488,125","60,242.88","21,272",12 Nov 2021,1 GEORGE STREET,Resale,Land,"5,596.7","228,972",Office,99 yrs from 22/01/2003,01,04,049145,Central Region,Downtown Core
PS100,"1,030,000",419.8,"2,454",12 Nov 2021,100 PECK SEAH STREET #11-06,Resale,Strata,39,"26,410",Office,99 yrs from 13/04/2011,02,07,079333,Central Region,Outram
CHENN LEONN BUILDING,"2,200,000","1,657.66","1,327",15 Nov 2021,5A ALIWAL STREET,Resale,Strata,154,"14,286",Office,Freehold,07,19,199898,Central Region,Rochor
VISION EXCHANGE,"2,900,000","1,388.56","2,089",15 Nov 2021,2 VENTURE DRIVE #15-08,Resale,Strata,129,"22,481",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
THE MODULES,"750,000",365.98,"2,049",16 Nov 2021,387 JOO CHIAT ROAD #03-02,Resale,Strata,34,"22,059",Office,Freehold,15,42,427623,Central Region,Marine Parade
FUYUEN COURT,"1,630,000",839.59,"1,941",16 Nov 2021,520 SIMS AVENUE #01-02,Resale,Strata,78,"20,897",Office,Freehold,14,38,387580,Central Region,Geylang
PAYA LEBAR SQUARE,"903,000",484.38,"1,864",18 Nov 2021,60 PAYA LEBAR ROAD #10-25,Resale,Strata,45,"20,067",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
PAYA LEBAR SQUARE,"1,770,160",871.88,"2,030",25 Nov 2021,60 PAYA LEBAR ROAD #05-27,Resale,Strata,81,"21,854",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
VISION EXCHANGE,"980,000",516.67,"1,897",25 Nov 2021,2 VENTURE DRIVE #07-29,Resale,Strata,48,"20,417",Office,99 yrs from 10/06/2013,22,60,608526,West Region,Jurong East
SBF CENTER,"2,080,000",667.37,"3,117",25 Nov 2021,160 ROBINSON ROAD #19-10,Resale,Strata,62,"33,548",Office,99 yrs from 21/12/2011,01,06,068914,Central Region,Downtown Core
SUNTEC CITY,"4,247,450","1,614.6","2,631",29 Nov 2021,7 TEMASEK BOULEVARD #07-05,Resale,Strata,150,"28,316",Office,99 yrs from 01/03/1989,01,03,038987,Central Region,Downtown Core
THE CENTRAL,"1,800,000",645.84,"2,787",30 Nov 2021,8 EU TONG SEN STREET #20-83,Resale,Strata,60,"30,000",Office,99 yrs from 02/01/2001,01,05,059818,Central Region,Singapore River
PAYA LEBAR SQUARE,"1,038,000",505.91,"2,052",01 Dec 2021,60 PAYA LEBAR ROAD #05-33,Resale,Strata,47,"22,085",Office,99 yrs from 25/07/2011,14,40,409051,Central Region,Geylang
FOOK HAI BUILDING,"1,530,000","1,259.39","1,215",02 Dec 2021,150 SOUTH BRIDGE ROAD #05-02,Resale,Strata,117,"13,077",Office,99 yrs from 18/01/1972,01,05,058727,Central Region,Outram
CENTRAL SQUARE,"315,000,000","67,147.98","4,691",02 Dec 2021,20 HAVELOCK ROAD,Resale,Land,"6,238.2","50,495",Office,99 yrs from 13/02/1995,01,05,059765,Central Region,Singapore River
THE CENTRAL,"1,408,888",635.08,"2,218",06 Dec 2021,12 EU TONG SEN STREET #04-167,Resale,Strata,59,"23,879",Office,99 yrs from 02/01/2001,01,05,059819,Central Region,Singapore River
EAST VILLAGE,"515,000",150.7,"3,417",06 Dec 2021,430 UPPER CHANGI ROAD #01-42,Resale,Strata,14,"36,786",Office,Freehold,16,48,487048,East Region,Bedok
GRANDLINK SQUARE,"903,888",484.38,"1,866",06 Dec 2021,511 GUILLEMARD ROAD #03-08,Resale,Strata,45,"20,086",Office,Freehold,14,39,399849,Central Region,Geylang
